"p","U:0","U:1","U:2","epsilon","k","nut","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.3326,0,0,0,5.0414,0.017221,0,-0.00053401,0.0010077,0,1,0,0,-0.025,0
-8.3322,0.0029885,-0.0062339,0,4.6468,0.022484,5.054e-006,-0.00037006,0.00081777,0,1,0.000205,0.000205,-0.025,0
-8.3318,0.0059779,-0.01247,0,4.2522,0.027748,1.011e-005,-0.00020608,0.00062774,0,1,0.00041,0.00041,-0.025,0
-8.3312,0.0085905,-0.015878,3.1868e-021,3.9322,0.034598,1.6261e-005,-0.0001736,0.00052014,0,1,0.000615,0.000615,-0.025,0
-8.3304,0.010687,-0.015417,1.0731e-020,3.7141,0.043616,2.391e-005,-0.00032087,0.00052531,0,1,0.00082,0.00082,-0.025,0
-8.3297,0.012785,-0.014957,1.8278e-020,3.4961,0.052635,3.1561e-005,-0.00046811,0.00053047,0,1,0.001025,0.001025,-0.025,0
-8.3296,0.01435,-0.01369,1.9602e-020,3.7394,0.059966,3.8189e-005,-0.00057178,0.00050199,0,1,0.00123,0.00123,-0.025,0
-8.3296,0.015803,-0.012253,1.9606e-020,4.0806,0.066939,4.4601e-005,-0.0006662,0.00046638,0,1,0.001435,0.001435,-0.025,0
-8.3298,0.017163,-0.01078,1.7097e-020,4.4185,0.073708,5.0734e-005,-0.00075444,0.00042643,0,1,0.00164,0.00164,-0.025,0
-8.331,0.018168,-0.0091755,4.9782e-021,4.7441,0.079697,5.5796e-005,-0.00081914,0.00036988,0,1,0.001845,0.001845,-0.025,0
-8.3321,0.019173,-0.0075704,-7.145e-021,5.0697,0.085685,6.0859e-005,-0.00088383,0.00031335,0,1,0.00205,0.00205,-0.025,0
-8.3336,0.019805,-0.0059568,-1.4767e-020,5.3818,0.091256,6.5267e-005,-0.00092968,0.00025181,0,1,0.002255,0.002255,-0.025,0
-8.3352,0.020154,-0.0043366,-1.898e-020,5.6838,0.096511,6.9178e-005,-0.00096128,0.00018649,0,1,0.00246,0.00246,-0.025,0
-8.3369,0.020504,-0.0027158,-2.3195e-020,5.9858,0.10177,7.3091e-005,-0.00099288,0.00012118,0,1,0.002665,0.002665,-0.025,0
-8.3388,0.020271,-0.0011871,-2.4437e-020,6.2637,0.10642,7.6142e-005,-0.00099643,5.9395e-005,2.119e-022,1,0.00287,0.00287,-0.025,0
-8.3407,0.019981,0.0003331,-2.5389e-020,6.5393,0.11101,7.9109e-005,-0.00099722,-2.0302e-006,4.4457e-022,1,0.003075,0.003075,-0.025,0
-8.3427,0.019559,0.0018106,-2.482e-020,6.8069,0.11544,8.189e-005,-0.00099207,-6.0961e-005,5.7224e-022,1,0.00328,0.00328,-0.025,0
-8.3448,0.018695,0.0031449,-1.92e-020,7.0484,0.11932,8.4054e-005,-0.00096715,-0.00011163,3.5104e-022,1,0.003485,0.003485,-0.025,0
