"p","U:0","U:1","U:2","epsilon","k","nut","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-6.8275,0,0,0,0.21934,0.00076311,0,-0.00016504,0.00048144,0,1,0,0,-0.025,0
-6.8275,0.0012017,-0.0030824,0,0.21747,0.0013818,9.0935e-007,-0.00010621,0.00040342,0,1,0.000205,0.000205,-0.025,0
-6.8275,0.0024038,-0.0061658,0,0.2156,0.0020006,1.819e-006,-4.7361e-005,0.00032537,0,1,0.00041,0.00041,-0.025,0
-6.8275,0.0035116,-0.0079123,6.9943e-021,0.22369,0.0028523,3.1682e-006,-4.9144e-005,0.00028663,0,1,0.000615,0.000615,-0.025,0
-6.8276,0.0044904,-0.0078301,2.3553e-020,0.24538,0.0040224,5.1184e-006,-0.0001338,0.00030167,0,1,0.00082,0.00082,-0.025,0
-6.8277,0.0054694,-0.007748,4.0117e-020,0.26707,0.0051926,7.0692e-006,-0.00021844,0.0003167,0,1,0.001025,0.001025,-0.025,0
-6.8278,0.0061011,-0.0069168,4.3023e-020,0.30837,0.00623,8.9716e-006,-0.00028095,0.00029734,0,1,0.00123,0.00123,-0.025,0
-6.828,0.0066592,-0.0059264,4.303e-020,0.35383,0.0072392,1.0864e-005,-0.00033876,0.00027068,0,1,0.001435,0.001435,-0.025,0
-6.8282,0.0071303,-0.0048926,3.7385e-020,0.39879,0.0082179,1.2638e-005,-0.00039067,0.00024026,0,1,0.00164,0.00164,-0.025,0
-6.8285,0.0072676,-0.0036936,1.0106e-020,0.44185,0.0090801,1.3958e-005,-0.00042005,0.00019541,0,1,0.001845,0.001845,-0.025,0
-6.8288,0.007405,-0.0024942,-1.7181e-020,0.48492,0.0099423,1.5278e-005,-0.00044942,0.00015058,0,1,0.00205,0.00205,-0.025,0
-6.8291,0.0072953,-0.0013083,-3.4586e-020,0.52884,0.010788,1.6363e-005,-0.00046397,0.00010386,0,1,0.002255,0.002255,-0.025,0
-6.8295,0.0069984,-0.00013257,-4.4507e-020,0.57341,0.011621,1.727e-005,-0.00046731,5.5711e-005,0,1,0.00246,0.00246,-0.025,0
-6.8298,0.0067014,0.0010436,-5.4431e-020,0.61798,0.012455,1.8178e-005,-0.00047065,7.5736e-006,0,1,0.002665,0.002665,-0.025,0
-6.8302,0.0060372,0.0020827,-6.161e-020,0.66831,0.013354,1.89e-005,-0.00045449,-3.5162e-005,7.7546e-022,1,0.00287,0.00287,-0.025,0
-6.8306,0.0053367,0.0031088,-6.8521e-020,0.71919,0.014261,1.9604e-005,-0.00043641,-7.7359e-005,1.6269e-021,1,0.003075,0.003075,-0.025,0
-6.831,0.0045571,0.0040876,-6.9687e-020,0.77228,0.015199,2.0298e-005,-0.00041487,-0.00011729,2.0963e-021,1,0.00328,0.00328,-0.025,0
-6.8314,0.0035151,0.0049084,-5.1745e-020,0.83269,0.016244,2.0958e-005,-0.00038178,-0.0001497,1.2964e-021,1,0.003485,0.003485,-0.025,0
-6.8318,0.0024728,0.0057294,-3.3798e-020,0.8931,0.017289,2.1618e-005,-0.0003487,-0.0001821,4.9653e-022,1,0.00369,0.00369,-0.025,0
-6.8323,0.0012799,0.0064431,-1.6115e-020,0.96017,0.018439,2.2308e-005,-0.00031034,-0.00020946,-3.2361e-022,1,0.003895,0.003895,-0.025,0
