"p","U:0","U:1","U:2","epsilon","k","nut","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-6.7683,0,0,0,0.25194,0.00087496,0,-0.00017709,0.00051775,0,1,0,0,-0.025,0
-6.7683,0.0012613,-0.0032412,0,0.24916,0.0015613,9.8107e-007,-0.00011494,0.00043254,0,1,0.000205,0.000205,-0.025,0
-6.7683,0.0025231,-0.0064834,0,0.24638,0.0022478,1.9625e-006,-5.2786e-005,0.00034727,0,1,0.00041,0.00041,-0.025,0
-6.7683,0.0036744,-0.008288,6.656e-021,0.25467,0.0031907,3.4041e-006,-5.4884e-005,0.00030353,0,1,0.000615,0.000615,-0.025,0
-6.7684,0.0046744,-0.0081262,2.2414e-020,0.27809,0.0044842,5.475e-006,-0.00014481,0.00031657,0,1,0.00082,0.00082,-0.025,0
-6.7685,0.0056749,-0.0079644,3.8177e-020,0.3015,0.0057778,7.5466e-006,-0.00023473,0.00032961,0,1,0.001025,0.001025,-0.025,0
-6.7687,0.0062995,-0.0070384,4.0942e-020,0.3474,0.0069225,9.5498e-006,-0.00029925,0.00030653,0,1,0.00123,0.00123,-0.025,0
-6.7689,0.0068446,-0.00595,4.0949e-020,0.39807,0.0080358,1.1539e-005,-0.00035838,0.0002758,0,1,0.001435,0.001435,-0.025,0
-6.7691,0.0072974,-0.0048212,3.5576e-020,0.44829,0.0091172,1.3404e-005,-0.00041112,0.00024132,0,1,0.00164,0.00164,-0.025,0
-6.7694,0.0073967,-0.0035387,9.6128e-021,0.4968,0.010077,1.4792e-005,-0.00043944,0.00019251,0,1,0.001845,0.001845,-0.025,0
-6.7697,0.007496,-0.0022558,-1.6359e-020,0.54531,0.011036,1.618e-005,-0.00046775,0.00014372,0,1,0.00205,0.00205,-0.025,0
-6.7701,0.0073351,-0.00099869,-3.2902e-020,0.59538,0.011988,1.7327e-005,-0.00048032,9.3583e-005,0,1,0.002255,0.002255,-0.025,0
