"p","U:0","U:1","U:2","epsilon","k","nut","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-7.121,0,0,0,0.12731,0.0019159,0,1,0,0,-0.0254,0
-7.121,0,0,0,0.1355,0.0019788,0,1,5.08e-005,0,-0.025349,0
-7.121,0,0,0,0.14369,0.0020417,0,1,0.0001016,0,-0.025298,0
-7.121,0,0,0,0.15188,0.0021047,0,1,0.0001524,0,-0.025248,0
-7.121,0,0,0,0.16007,0.0021676,0,1,0.0002032,0,-0.025197,0
-7.121,0,0,0,0.16827,0.0022305,0,1,0.000254,0,-0.025146,0
-7.121,0,0,0,0.17646,0.0022934,0,1,0.0003048,0,-0.025095,0
-7.121,0,0,0,0.18465,0.0023564,0,1,0.0003556,0,-0.025044,0
-7.1211,0,0,0,0.19284,0.0024193,0,1,0.0004064,0,-0.024994,0
-7.1211,0,0,0,0.20103,0.0024822,0,1,0.0004572,0,-0.024943,0
-7.1211,0,0,0,0.20923,0.0025451,0,1,0.000508,0,-0.024892,0
-7.1211,0,0,0,0.21742,0.002608,0,1,0.0005588,0,-0.024841,0
-7.1211,0,0,0,0.22561,0.002671,0,1,0.0006096,0,-0.02479,0
-7.1211,0,0,0,0.2338,0.0027339,0,1,0.0006604,0,-0.02474,0
-7.1211,0,0,0,0.242,0.0027968,0,1,0.0007112,0,-0.024689,0
-7.1211,0,0,0,0.25019,0.0028597,0,1,0.000762,0,-0.024638,0
-7.1212,0,0,0,0.25838,0.0029227,0,1,0.0008128,0,-0.024587,0
-7.1212,0,0,0,0.26657,0.0029856,0,1,0.0008636,0,-0.024536,0
-7.1212,0,0,0,0.27476,0.0030485,0,1,0.0009144,0,-0.024486,0
-7.1212,0,0,0,0.28296,0.0031114,0,1,0.0009652,0,-0.024435,0
-7.1212,0,0,0,0.29115,0.0031744,0,1,0.001016,0,-0.024384,0
-7.1212,0,0,0,0.29934,0.0032373,0,1,0.0010668,0,-0.024333,0
-7.1212,0,0,0,0.30753,0.0033002,0,1,0.0011176,0,-0.024282,0
-7.1212,0,0,0,0.32537,0.0034161,0,1,0.0011684,0,-0.024232,0
-7.1212,0,0,0,0.34754,0.0035558,0,1,0.0012192,0,-0.024181,0
-7.1212,0,0,0,0.36971,0.0036955,0,1,0.00127,0,-0.02413,0
-7.1212,0,0,0,0.39188,0.0038351,0,1,0.0013208,0,-0.024079,0
-7.1212,0,0,0,0.41405,0.0039748,0,1,0.0013716,0,-0.024028,0
-7.1212,0,0,0,0.43621,0.0041145,0,1,0.0014224,0,-0.023978,0
-7.1212,0,0,0,0.45838,0.0042542,0,1,0.0014732,0,-0.023927,0
-7.1212,0,0,0,0.48055,0.0043938,0,1,0.001524,0,-0.023876,0
-7.1212,0,0,0,0.50272,0.0045335,0,1,0.0015748,0,-0.023825,0
-7.1212,0,0,0,0.52489,0.0046732,0,1,0.0016256,0,-0.023774,0
-7.1212,0,0,0,0.54705,0.0048129,0,1,0.0016764,0,-0.023724,0
-7.1212,0,0,0,0.56922,0.0049525,0,1,0.0017272,0,-0.023673,0
-7.1212,0,0,0,0.59139,0.0050922,0,1,0.001778,0,-0.023622,0
-7.1212,0,0,0,0.61356,0.0052319,0,1,0.0018288,0,-0.023571,0
-7.1212,0,0,0,0.63573,0.0053716,0,1,0.0018796,0,-0.02352,0
-7.1212,0,0,0,0.6579,0.0055112,0,1,0.0019304,0,-0.02347,0
-7.1212,0,0,0,0.68006,0.0056509,0,1,0.0019812,0,-0.023419,0
-7.1212,0,0,0,0.70223,0.0057906,0,1,0.002032,0,-0.023368,0
-7.1212,0,0,0,0.7244,0.0059303,0,1,0.0020828,0,-0.023317,0
-7.1212,0,0,0,0.74657,0.0060699,0,1,0.0021336,0,-0.023266,0
-7.1212,0,0,0,0.76874,0.0062096,0,1,0.0021844,0,-0.023216,0
-7.1212,0,0,0,0.79091,0.0063493,0,1,0.0022352,0,-0.023165,0
-7.1212,0,0,0,0.81591,0.0064916,0,1,0.002286,0,-0.023114,0
-7.1211,0,0,0,0.84552,0.0066381,0,1,0.0023368,0,-0.023063,0
-7.121,0,0,0,0.87513,0.0067847,0,1,0.0023876,0,-0.023012,0
-7.121,0,0,0,0.90474,0.0069312,0,1,0.0024384,0,-0.022962,0
-7.1209,0,0,0,0.93435,0.0070778,0,1,0.0024892,0,-0.022911,0
-7.1209,0,0,0,0.96396,0.0072243,0,1,0.00254,0,-0.02286,0
-7.1208,0,0,0,0.99357,0.0073708,0,1,0.0025908,0,-0.022809,0
-7.1207,0,0,0,1.0232,0.0075174,0,1,0.0026416,0,-0.022758,0
-7.1207,0,0,0,1.0528,0.0076639,0,1,0.0026924,0,-0.022708,0
-7.1206,0,0,0,1.0824,0.0078105,0,1,0.0027432,0,-0.022657,0
-7.1205,0,0,0,1.112,0.007957,0,1,0.002794,0,-0.022606,0
-7.1205,0,0,0,1.1416,0.0081036,0,1,0.0028448,0,-0.022555,0
-7.1204,0,0,0,1.1712,0.0082501,0,1,0.0028956,0,-0.022504,0
-7.1203,0,0,0,1.2008,0.0083967,0,1,0.0029464,0,-0.022454,0
-7.1203,0,0,0,1.2305,0.0085432,0,1,0.0029972,0,-0.022403,0
-7.1202,0,0,0,1.2601,0.0086898,0,1,0.003048,0,-0.022352,0
-7.1201,0,0,0,1.2897,0.0088363,0,1,0.0030988,0,-0.022301,0
-7.1201,0,0,0,1.3193,0.0089828,0,1,0.0031496,0,-0.02225,0
-7.12,0,0,0,1.3489,0.0091294,0,1,0.0032004,0,-0.0222,0
-7.1199,0,0,0,1.3785,0.0092759,0,1,0.0032512,0,-0.022149,0
-7.1199,0,0,0,1.4081,0.0094225,0,1,0.003302,0,-0.022098,0
-7.1198,0,0,0,1.4377,0.009569,0,1,0.0033528,0,-0.022047,0
-7.1197,0,0,0,1.4674,0.0097141,0,1,0.0034036,0,-0.021996,0
-7.1196,0,0,0,1.4974,0.0098406,0,1,0.0034544,0,-0.021946,0
-7.1194,0,0,0,1.5275,0.009967,0,1,0.0035052,0,-0.021895,0
-7.1193,0,0,0,1.5575,0.010093,0,1,0.003556,0,-0.021844,0
-7.1191,0,0,0,1.5876,0.01022,0,1,0.0036068,0,-0.021793,0
-7.119,0,0,0,1.6176,0.010346,0,1,0.0036576,0,-0.021742,0
-7.1189,0,0,0,1.6477,0.010473,0,1,0.0037084,0,-0.021692,0
-7.1187,0,0,0,1.6777,0.010599,0,1,0.0037592,0,-0.021641,0
-7.1186,0,0,0,1.7078,0.010725,0,1,0.00381,0,-0.02159,0
-7.1184,0,0,0,1.7378,0.010852,0,1,0.0038608,0,-0.021539,0
-7.1183,0,0,0,1.7679,0.010978,0,1,0.0039116,0,-0.021488,0
-7.1181,0,0,0,1.7979,0.011105,0,1,0.0039624,0,-0.021438,0
-7.118,0,0,0,1.828,0.011231,0,1,0.0040132,0,-0.021387,0
-7.1178,0,0,0,1.858,0.011357,0,1,0.004064,0,-0.021336,0
-7.1177,0,0,0,1.8881,0.011484,0,1,0.0041148,0,-0.021285,0
-7.1175,0,0,0,1.9181,0.01161,0,1,0.0041656,0,-0.021234,0
-7.1174,0,0,0,1.9482,0.011737,0,1,0.0042164,0,-0.021184,0
-7.1172,0,0,0,1.9782,0.011863,0,1,0.0042672,0,-0.021133,0
-7.1171,0,0,0,2.0083,0.01199,0,1,0.004318,0,-0.021082,0
-7.117,0,0,0,2.0383,0.012116,0,1,0.0043688,0,-0.021031,0
-7.1168,0,0,0,2.0684,0.012242,0,1,0.0044196,0,-0.02098,0
-7.1167,0,0,0,2.0984,0.012369,0,1,0.0044704,0,-0.02093,0
-7.1165,0,0,0,2.1285,0.012495,0,1,0.0045212,0,-0.020879,0
-7.1163,0,0,0,2.1558,0.012602,0,1,0.004572,0,-0.020828,0
-7.1161,0,0,0,2.1823,0.012702,0,1,0.0046228,0,-0.020777,0
-7.1159,0,0,0,2.2088,0.012803,0,1,0.0046736,0,-0.020726,0
-7.1156,0,0,0,2.2353,0.012903,0,1,0.0047244,0,-0.020676,0
-7.1154,0,0,0,2.2618,0.013003,0,1,0.0047752,0,-0.020625,0
-7.1152,0,0,0,2.2884,0.013104,0,1,0.004826,0,-0.020574,0
-7.115,0,0,0,2.3149,0.013204,0,1,0.0048768,0,-0.020523,0
-7.1148,0,0,0,2.3414,0.013304,0,1,0.0049276,0,-0.020472,0
-7.1145,0,0,0,2.3679,0.013405,0,1,0.0049784,0,-0.020422,0
-7.1143,0,0,0,2.3944,0.013505,0,1,0.0050292,0,-0.020371,0
-7.1141,0,0,0,2.4209,0.013605,0,1,0.00508,0,-0.02032,0
-7.1139,0,0,0,2.4474,0.013706,0,1,0.0051308,0,-0.020269,0
-7.1136,0,0,0,2.4739,0.013806,0,1,0.0051816,0,-0.020218,0
-7.1134,0,0,0,2.5004,0.013906,0,1,0.0052324,0,-0.020168,0
-7.1132,0,0,0,2.5269,0.014007,0,1,0.0052832,0,-0.020117,0
-7.113,0,0,0,2.5534,0.014107,0,1,0.005334,0,-0.020066,0
-7.1127,0,0,0,2.58,0.014208,0,1,0.0053848,0,-0.020015,0
-7.1125,0,0,0,2.6065,0.014308,0,1,0.0054356,0,-0.019964,0
-7.1123,0,0,0,2.633,0.014408,0,1,0.0054864,0,-0.019914,0
-7.1121,0,0,0,2.6595,0.014509,0,1,0.0055372,0,-0.019863,0
-7.1119,0,0,0,2.686,0.014609,0,1,0.005588,0,-0.019812,0
-7.1116,0,0,0,2.7125,0.014709,0,1,0.0056388,0,-0.019761,0
-7.1114,0,0,0,2.7369,0.014799,0,1,0.0056896,0,-0.01971,0
-7.1111,0,0,0,2.7586,0.014876,0,1,0.0057404,0,-0.01966,0
-7.1108,0,0,0,2.7804,0.014953,0,1,0.0057912,0,-0.019609,0
-7.1105,0,0,0,2.8021,0.01503,0,1,0.005842,0,-0.019558,0
-7.1103,0,0,0,2.8239,0.015106,0,1,0.0058928,0,-0.019507,0
-7.11,0,0,0,2.8457,0.015183,0,1,0.0059436,0,-0.019456,0
-7.1097,0,0,0,2.8674,0.01526,0,1,0.0059944,0,-0.019406,0
-7.1094,0,0,0,2.8892,0.015337,0,1,0.0060452,0,-0.019355,0
-7.1092,0,0,0,2.911,0.015414,0,1,0.006096,0,-0.019304,0
-7.1089,0,0,0,2.9327,0.015491,0,1,0.0061468,0,-0.019253,0
-7.1086,0,0,0,2.9545,0.015567,0,1,0.0061976,0,-0.019202,0
-7.1083,0,0,0,2.9762,0.015644,0,1,0.0062484,0,-0.019152,0
-7.108,0,0,0,2.998,0.015721,0,1,0.0062992,0,-0.019101,0
-7.1078,0,0,0,3.0198,0.015798,0,1,0.00635,0,-0.01905,0
-7.1075,0,0,0,3.0415,0.015875,0,1,0.0064008,0,-0.018999,0
-7.1072,0,0,0,3.0633,0.015952,0,1,0.0064516,0,-0.018948,0
-7.1069,0,0,0,3.085,0.016029,0,1,0.0065024,0,-0.018898,0
-7.1067,0,0,0,3.1068,0.016105,0,1,0.0065532,0,-0.018847,0
-7.1064,0,0,0,3.1286,0.016182,0,1,0.006604,0,-0.018796,0
-7.1061,0,0,0,3.1503,0.016259,0,1,0.0066548,0,-0.018745,0
-7.1058,0,0,0,3.1721,0.016336,0,1,0.0067056,0,-0.018694,0
-7.1055,0,0,0,3.1939,0.016413,0,1,0.0067564,0,-0.018644,0
-7.1053,0,0,0,3.215,0.016487,0,1,0.0068072,0,-0.018593,0
-7.105,0,0,0,3.2321,0.016544,0,1,0.006858,0,-0.018542,0
-7.1047,0,0,0,3.2492,0.016602,0,1,0.0069088,0,-0.018491,0
-7.1044,0,0,0,3.2663,0.01666,0,1,0.0069596,0,-0.01844,0
-7.1041,0,0,0,3.2834,0.016717,0,1,0.0070104,0,-0.01839,0
-7.1038,0,0,0,3.3005,0.016775,0,1,0.0070612,0,-0.018339,0
-7.1035,0,0,0,3.3176,0.016833,0,1,0.007112,0,-0.018288,0
-7.1032,0,0,0,3.3347,0.01689,0,1,0.0071628,0,-0.018237,0
-7.1029,0,0,0,3.3518,0.016948,0,1,0.0072136,0,-0.018186,0
-7.1026,0,0,0,3.3689,0.017005,0,1,0.0072644,0,-0.018136,0
-7.1023,0,0,0,3.386,0.017063,0,1,0.0073152,0,-0.018085,0
-7.102,0,0,0,3.4031,0.017121,0,1,0.007366,0,-0.018034,0
-7.1017,0,0,0,3.4202,0.017178,0,1,0.0074168,0,-0.017983,0
-7.1014,0,0,0,3.4373,0.017236,0,1,0.0074676,0,-0.017932,0
-7.1011,0,0,0,3.4544,0.017293,0,1,0.0075184,0,-0.017882,0
-7.1008,0,0,0,3.4715,0.017351,0,1,0.0075692,0,-0.017831,0
-7.1005,0,0,0,3.4886,0.017409,0,1,0.00762,0,-0.01778,0
-7.1002,0,0,0,3.5057,0.017466,0,1,0.0076708,0,-0.017729,0
-7.0999,0,0,0,3.5228,0.017524,0,1,0.0077216,0,-0.017678,0
-7.0996,0,0,0,3.5399,0.017581,0,1,0.0077724,0,-0.017628,0
-7.0993,0,0,0,3.557,0.017639,0,1,0.0078232,0,-0.017577,0
-7.099,0,0,0,3.5741,0.017697,0,1,0.007874,0,-0.017526,0
-7.0987,0,0,0,3.5912,0.017754,0,1,0.0079248,0,-0.017475,0
-7.0984,0,0,0,3.6074,0.017807,0,1,0.0079756,0,-0.017424,0
-7.0981,0,0,0,3.6234,0.017859,0,1,0.0080264,0,-0.017374,0
-7.0979,0,0,0,3.6394,0.017911,0,1,0.0080772,0,-0.017323,0
-7.0976,0,0,0,3.6554,0.017962,0,1,0.008128,0,-0.017272,0
-7.0973,0,0,0,3.6713,0.018014,0,1,0.0081788,0,-0.017221,0
-7.097,0,0,0,3.6873,0.018066,0,1,0.0082296,0,-0.01717,0
-7.0967,0,0,0,3.7033,0.018118,0,1,0.0082804,0,-0.01712,0
-7.0964,0,0,0,3.7193,0.018169,0,1,0.0083312,0,-0.017069,0
-7.0962,0,0,0,3.7353,0.018221,0,1,0.008382,0,-0.017018,0
-7.0959,0,0,0,3.7513,0.018273,0,1,0.0084328,0,-0.016967,0
-7.0956,0,0,0,3.7673,0.018325,0,1,0.0084836,0,-0.016916,0
-7.0953,0,0,0,3.7833,0.018376,0,1,0.0085344,0,-0.016866,0
-7.095,0,0,0,3.7992,0.018428,0,1,0.0085852,0,-0.016815,0
-7.0948,0,0,0,3.8152,0.01848,0,1,0.008636,0,-0.016764,0
-7.0945,0,0,0,3.8312,0.018532,0,1,0.0086868,0,-0.016713,0
-7.0942,0,0,0,3.8472,0.018583,0,1,0.0087376,0,-0.016662,0
-7.0939,0,0,0,3.8632,0.018635,0,1,0.0087884,0,-0.016612,0
-7.0936,0,0,0,3.8792,0.018687,0,1,0.0088392,0,-0.016561,0
-7.0934,0,0,0,3.8952,0.018739,0,1,0.00889,0,-0.01651,0
-7.0931,0,0,0,3.9112,0.018791,0,1,0.0089408,0,-0.016459,0
-7.0928,0,0,0,3.9272,0.018842,0,1,0.0089916,0,-0.016408,0
-7.0925,0,0,0,3.9431,0.018894,0,1,0.0090424,0,-0.016358,0
-7.0923,0,0,0,3.9651,0.018963,0,1,0.0090932,0,-0.016307,0
-7.092,0,0,0,3.9924,0.019047,0,1,0.009144,0,-0.016256,0
-7.0918,0,0,0,4.0197,0.019132,0,1,0.0091948,0,-0.016205,0
-7.0916,0,0,0,4.0471,0.019216,0,1,0.0092456,0,-0.016154,0
-7.0913,0,0,0,4.0744,0.019301,0,1,0.0092964,0,-0.016104,0
-7.0911,0,0,0,4.1017,0.019385,0,1,0.0093472,0,-0.016053,0
-7.0909,0,0,0,4.1291,0.019469,0,1,0.009398,0,-0.016002,0
-7.0906,0,0,0,4.1564,0.019554,0,1,0.0094488,0,-0.015951,0
-7.0904,0,0,0,4.1838,0.019638,0,1,0.0094996,0,-0.0159,0
-7.0902,0,0,0,4.2111,0.019723,0,1,0.0095504,0,-0.01585,0
-7.0899,0,0,0,4.2384,0.019807,0,1,0.0096012,0,-0.015799,0
-7.0897,0,0,0,4.2658,0.019892,0,1,0.009652,0,-0.015748,0
-7.0895,0,0,0,4.2931,0.019976,0,1,0.0097028,0,-0.015697,0
-7.0892,0,0,0,4.3204,0.02006,0,1,0.0097536,0,-0.015646,0
-7.089,0,0,0,4.3478,0.020145,0,1,0.0098044,0,-0.015596,0
-7.0888,0,0,0,4.3751,0.020229,0,1,0.0098552,0,-0.015545,0
-7.0885,0,0,0,4.4025,0.020314,0,1,0.009906,0,-0.015494,0
-7.0883,0,0,0,4.4298,0.020398,0,1,0.0099568,0,-0.015443,0
-7.0881,0,0,0,4.4571,0.020482,0,1,0.010008,0,-0.015392,0
-7.0878,0,0,0,4.4845,0.020567,0,1,0.010058,0,-0.015342,0
-7.0876,0,0,0,4.5118,0.020651,0,1,0.010109,0,-0.015291,0
-7.0874,0,0,0,4.5391,0.020736,0,1,0.01016,0,-0.01524,0
-7.0872,0,0,0,4.5689,0.020827,0,1,0.010211,0,-0.015189,0
-7.087,0,0,0,4.6078,0.020942,0,1,0.010262,0,-0.015138,0
