"p","U:0","U:1","U:2","k","nut","omega","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.8923,0,0,0,3.3848e-008,0,11463,8.4911e-005,-0.00039736,0,1,0,0,-0.025,0
-8.8923,-0.00080723,0.0027296,0,1.9887e-007,5.2854e-011,9707.4,5.7931e-005,-0.00033942,0,1,0.000205,0.000205,-0.025,0
-8.8923,-0.0016147,0.0054601,0,3.6391e-007,1.0573e-010,7951.6,3.0945e-005,-0.00028146,0,1,0.00041,0.00041,-0.025,0
-8.8923,-0.0025931,0.0072794,4.0492e-020,8.8504e-007,4.148e-010,6186.8,5.0828e-005,-0.00025738,0,1,0.000615,0.000615,-0.025,0
-8.8924,-0.0038051,0.0078524,1.3635e-019,1.893e-006,1.0742e-009,4410,0.00013477,-0.00027965,0,1,0.00082,0.00082,-0.025,0
-8.8924,-0.0050175,0.0084255,2.3225e-019,2.9011e-006,1.7338e-009,2633.2,0.00021869,-0.00030192,0,1,0.001025,0.001025,-0.025,0
-8.8924,-0.0059433,0.0079355,2.4907e-019,6.3986e-006,4.7495e-009,2288.5,0.00029755,-0.00029316,0,1,0.00123,0.00123,-0.025,0
-8.8925,-0.0068085,0.0072197,2.4911e-019,1.0425e-005,8.2661e-009,2247.6,0.00037533,-0.00027782,0,1,0.001435,0.001435,-0.025,0
-8.8924,-0.0074065,0.0062547,2.1459e-019,1.6444e-005,1.4091e-008,2212.9,0.00044861,-0.00025421,0,1,0.00164,0.00164,-0.025,0
-8.8923,-0.0069814,0.0043367,4.7787e-020,3.0084e-005,2.8746e-008,2202.3,0.00050479,-0.00019897,0,1,0.001845,0.001845,-0.025,0
-8.8922,-0.0065562,0.0024181,-1.1907e-019,4.3727e-005,4.3406e-008,2191.7,0.00056096,-0.00014374,0,1,0.00205,0.00205,-0.025,0
-8.8919,-0.0051382,-8.9984e-005,-2.1583e-019,6.9451e-005,6.9255e-008,2185.3,0.00058743,-7.0355e-005,0,1,0.002255,0.002255,-0.025,0
-8.8915,-0.0029683,-0.0030447,-2.5951e-019,0.00010432,1.0358e-007,2182,0.00059143,1.677e-005,0,1,0.00246,0.00246,-0.025,0
-8.8911,-0.00079767,-0.0060004,-3.0321e-019,0.0001392,1.3792e-007,2178.7,0.00059543,0.00010388,0,1,0.002665,0.002665,-0.025,0
-8.8903,0.0026858,-0.0092083,-2.9119e-019,0.00020547,1.9786e-007,2179.7,0.00053987,0.00020107,2.2723e-021,1,0.00287,0.00287,-0.025,0
-8.8895,0.0062995,-0.012442,-2.7369e-019,0.00027482,2.6035e-007,2181.1,0.00047848,0.00029924,4.7675e-021,1,0.003075,0.003075,-0.025,0
