"p","U:0","U:1","U:2","nuTilda","nut","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
35.104,0,0,0,0,0,-0.0015636,0.0011711,0,1,0,0,-0.025,0
35.103,0.020622,-0.043147,0,2.1488e-006,2.8107e-007,-0.00073281,0.0015728,0,1,0.000205,0.000205,-0.025,0
35.103,0.041251,-0.08631,0,4.2984e-006,5.6223e-007,9.8173e-005,0.001974,0,1,0.00041,0.00041,-0.025,0
35.101,0.063928,-0.12079,-2.32e-021,7.1049e-006,1.7125e-006,0.00022007,0.0027206,0,1,0.000615,0.000615,-0.025,0
35.097,0.089405,-0.1434,-7.8123e-021,1.0809e-005,4.0511e-006,-0.00062732,0.0039394,0,1,0.00082,0.00082,-0.025,0
35.093,0.11489,-0.16601,-1.3307e-020,1.4515e-005,6.3905e-006,-0.0014746,0.005158,0,1,0.001025,0.001025,-0.025,0
35.078,0.13688,-0.16678,-1.427e-020,1.8989e-005,1.0616e-005,-0.0027231,0.005599,0,1,0.00123,0.00123,-0.025,0
35.062,0.15813,-0.16291,-1.4273e-020,2.3627e-005,1.5243e-005,-0.0040566,0.0058748,0,1,0.001435,0.001435,-0.025,0
35.043,0.17818,-0.15706,-1.2362e-020,2.8082e-005,1.9729e-005,-0.0053216,0.0060388,0,1,0.00164,0.00164,-0.025,0
35.013,0.19361,-0.14363,-3.1279e-021,3.1836e-005,2.3671e-005,-0.0063252,0.0057747,0,1,0.001845,0.001845,-0.025,0
34.984,0.20904,-0.13018,6.109e-021,3.5592e-005,2.7614e-005,-0.0073286,0.0055107,0,1,0.00205,0.00205,-0.025,0
34.953,0.22123,-0.11574,1.2223e-020,3.8342e-005,3.046e-005,-0.0081255,0.0051205,0,1,0.002255,0.002255,-0.025,0
34.919,0.23096,-0.10053,1.5973e-020,4.0332e-005,3.2473e-005,-0.0087662,0.0046348,0,1,0.00246,0.00246,-0.025,0
34.886,0.24069,-0.085316,1.9724e-020,4.2322e-005,3.4488e-005,-0.0094067,0.0041492,0,1,0.002665,0.002665,-0.025,0
34.859,0.24543,-0.070707,2.1753e-020,4.3148e-005,3.5311e-005,-0.0097737,0.0036183,-2.2172e-022,1,0.00287,0.00287,-0.025,0
34.833,0.24967,-0.056153,2.3613e-020,4.386e-005,3.6018e-005,-0.010114,0.0030831,-4.6517e-022,1,0.003075,0.003075,-0.025,0
34.809,0.25278,-0.041938,2.3788e-020,4.4365e-005,3.6524e-005,-0.010396,0.0025514,-5.9638e-022,1,0.00328,0.00328,-0.025,0
