"p","U:0","U:1","U:2","nuTilda","nut","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.5356,0,0,0,0,0,-0.00048676,-0.00072422,0,1,0,0,-0.025,0
-8.5346,0.018485,-0.035622,0,2.2115e-006,2.3646e-007,3.6621e-005,0.00018649,0,1,0.000205,0.000205,-0.025,0
-8.5337,0.036977,-0.071256,0,4.4238e-006,4.73e-007,0.00056015,0.0010968,0,1,0.00041,0.00041,-0.025,0
-8.533,0.058724,-0.10386,2.259e-021,7.2647e-006,1.5533e-006,0.00055538,0.0022079,0,1,0.000615,0.000615,-0.025,0
-8.5329,0.084921,-0.13233,7.607e-021,1.0965e-005,3.7872e-006,-0.00017156,0.0035935,0,1,0.00082,0.00082,-0.025,0
-8.5328,0.11113,-0.1608,1.2957e-020,1.4666e-005,6.022e-006,-0.00089836,0.0049789,0,1,0.001025,0.001025,-0.025,0
-8.5414,0.13427,-0.16641,1.3895e-020,1.9139e-005,1.029e-005,-0.0021398,0.00555,0,1,0.00123,0.00123,-0.025,0
-8.5519,0.15678,-0.16717,1.3898e-020,2.3777e-005,1.4991e-005,-0.0034902,0.0059483,0,1,0.001435,0.001435,-0.025,0
-8.5659,0.17829,-0.16548,1.2037e-020,2.8289e-005,1.9609e-005,-0.0047859,0.0062304,0,1,0.00164,0.00164,-0.025,0
-8.5935,0.19596,-0.15441,3.0472e-021,3.2316e-005,2.3905e-005,-0.0058728,0.0060682,0,1,0.001845,0.001845,-0.025,0
-8.6211,0.21363,-0.14333,-5.9459e-021,3.6345e-005,2.8203e-005,-0.0069595,0.005906,0,1,0.00205,0.00205,-0.025,0
-8.654,0.22846,-0.13059,-1.1868e-020,3.9446e-005,3.147e-005,-0.0078626,0.0055921,0,1,0.002255,0.002255,-0.025,0
-8.691,0.24111,-0.11659,-1.5464e-020,4.1847e-005,3.3955e-005,-0.0086268,0.0051636,0,1,0.00246,0.00246,-0.025,0
-8.728,0.25378,-0.10259,-1.9062e-020,4.4248e-005,3.644e-005,-0.0093907,0.0047351,0,1,0.002665,0.002665,-0.025,0
-8.7616,0.2616,-0.088652,-2.0323e-020,4.552e-005,3.7738e-005,-0.0098844,0.0042349,1.642e-022,1,0.00287,0.00287,-0.025,0
-8.7948,0.26895,-0.074719,-2.1354e-020,4.6681e-005,3.892e-005,-0.010352,0.0037279,3.4451e-022,1,0.003075,0.003075,-0.025,0
-8.8253,0.27515,-0.060991,-2.1098e-020,4.7618e-005,3.9877e-005,-0.010763,0.003221,4.4082e-022,1,0.00328,0.00328,-0.025,0
-8.8464,0.27751,-0.047958,-1.6562e-020,4.7807e-005,4.0085e-005,-0.010988,0.0027148,2.5811e-022,1,0.003485,0.003485,-0.025,0
-8.8675,0.27987,-0.03492,-1.2024e-020,4.7996e-005,4.0293e-005,-0.011214,0.0022087,7.5426e-023,1,0.00369,0.00369,-0.025,0
-8.881,0.2799,-0.022524,-7.4392e-021,4.7833e-005,4.0152e-005,-0.011323,0.0017125,-1.0448e-022,1,0.003895,0.003895,-0.025,0
-8.8879,0.27788,-0.010692,-2.8123e-021,4.7359e-005,3.9702e-005,-0.01133,0.0012253,-2.8193e-022,1,0.0041,0.0041,-0.025,0
-8.8947,0.27585,0.0011432,1.8162e-021,4.6886e-005,3.9252e-005,-0.011337,0.00073807,-4.5936e-022,1,0.004305,0.004305,-0.025,0
