"p","U:0","U:1","U:2","k","nut","omega","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-10.19,0,0,0,0.00038565,0,11463,-0.0018842,-0.0020645,0,1,0,0,-0.025,0
-10.191,-0.0018578,0.01164,0,0.0013589,2.5665e-007,9706.7,-0.001273,-0.0016495,0,1,0.000205,0.000205,-0.025,0
-10.192,-0.0037163,0.023284,0,0.0023321,5.1339e-007,7950.1,-0.00066181,-0.0012343,0,1,0.00041,0.00041,-0.025,0
-10.195,-0.0089455,0.030988,7.1166e-021,0.0039725,1.0139e-006,6191.1,-0.0001519,-0.0010513,0,1,0.000615,0.000615,-0.025,0
-10.199,-0.018784,0.033302,2.3965e-020,0.0065248,1.8478e-006,4428.9,0.00021946,-0.0011858,0,1,0.00082,0.00082,-0.025,0
-10.204,-0.028625,0.035616,4.0819e-020,0.0090773,2.6819e-006,2666.7,0.00059076,-0.0013203,0,1,0.001025,0.001025,-0.025,0
-10.21,-0.034423,0.037266,4.3776e-020,0.012647,3.8887e-006,2341.5,0.00081154,-0.0013855,0,1,0.00123,0.00123,-0.025,0
-10.216,-0.039364,0.038775,4.3783e-020,0.016433,5.175e-006,2321.1,0.0010004,-0.001436,0,1,0.001435,0.001435,-0.025,0
-10.222,-0.04445,0.039983,3.8356e-020,0.020382,6.4908e-006,2304.5,0.001199,-0.0014852,0,1,0.00164,0.00164,-0.025,0
-10.226,-0.050091,0.040035,1.2136e-020,0.024951,7.9181e-006,2302.5,0.0014354,-0.0015294,0,1,0.001845,0.001845,-0.025,0
-10.231,-0.055734,0.040087,-1.4094e-020,0.02952,9.3459e-006,2300.6,0.0016718,-0.0015737,0,1,0.00205,0.00205,-0.025,0
-10.233,-0.060891,0.03996,-3.0009e-020,0.034187,1.077e-005,2299.3,0.0018877,-0.0015988,0,1,0.002255,0.002255,-0.025,0
-10.235,-0.065678,0.039698,-3.8114e-020,0.038928,1.2191e-005,2298.7,0.0020883,-0.0016092,0,1,0.00246,0.00246,-0.025,0
-10.237,-0.070468,0.039436,-4.6221e-020,0.04367,1.3613e-005,2298,0.0022887,-0.0016197,0,1,0.002665,0.002665,-0.025,0
-10.237,-0.075119,0.039113,-4.8071e-020,0.048372,1.4942e-005,2298.1,0.002486,-0.0016228,4.2386e-022,1,0.00287,0.00287,-0.025,0
-10.237,-0.079757,0.038783,-4.9306e-020,0.053071,1.6262e-005,2298.2,0.0026829,-0.0016251,8.8928e-022,1,0.003075,0.003075,-0.025,0
-10.237,-0.084396,0.038455,-4.7676e-020,0.057699,1.7538e-005,2298.6,0.0028788,-0.0016243,1.1501e-021,1,0.00328,0.00328,-0.025,0
-10.237,-0.089029,0.038135,-3.6519e-020,0.062095,1.867e-005,2299.6,0.0030714,-0.0016131,7.3101e-022,1,0.003485,0.003485,-0.025,0
-10.237,-0.093664,0.037815,-2.5359e-020,0.066492,1.9803e-005,2300.6,0.003264,-0.001602,3.1203e-022,1,0.00369,0.00369,-0.025,0
-10.236,-0.098323,0.037538,-1.452e-020,0.070626,2.0822e-005,2301.8,0.003453,-0.0015867,-1.2773e-022,1,0.003895,0.003895,-0.025,0
-10.235,-0.103,0.037298,-3.9646e-021,0.074528,2.1741e-005,2303.3,0.0036389,-0.0015678,-5.858e-022,1,0.0041,0.0041,-0.025,0
-10.235,-0.10768,0.037058,6.5944e-021,0.078431,2.266e-005,2304.8,0.0038248,-0.0015489,-1.0438e-021,1,0.004305,0.004305,-0.025,0
-10.233,-0.11245,0.036915,8.0896e-021,0.081903,2.3413e-005,2306.4,0.0040067,-0.0015284,-1.082e-021,1,0.00451,0.00451,-0.025,0
-10.232,-0.11724,0.036795,7.4593e-021,0.085274,2.4127e-005,2308.1,0.0041877,-0.0015076,-1.0219e-021,1,0.004715,0.004715,-0.025,0
-10.23,-0.12204,0.036682,6.8716e-021,0.088618,2.4829e-005,2309.9,0.0043686,-0.0014867,-9.6589e-022,1,0.00492,0.00492,-0.025,0
-10.229,-0.12703,0.03667,6.8728e-021,0.091602,2.5369e-005,2311.9,0.0045483,-0.0014661,-9.658e-022,1,0.005125,0.005125,-0.025,0
-10.227,-0.13203,0.036657,6.874e-021,0.094586,2.5909e-005,2313.9,0.004728,-0.0014456,-9.6571e-022,1,0.00533,0.00533,-0.025,0
-10.225,-0.13712,0.036666,6.124e-021,0.097501,2.6416e-005,2316,0.0049082,-0.0014252,-8.6012e-022,1,0.005535,0.005535,-0.025,0
-10.223,-0.14243,0.036726,3.656e-021,0.10026,2.6849e-005,2318.1,0.0050893,-0.0014054,-5.1335e-022,1,0.00574,0.00574,-0.025,0
-10.221,-0.14774,0.036786,1.1872e-021,0.10301,2.7281e-005,2320.2,0.0052703,-0.0013855,-1.6666e-022,1,0.005945,0.005945,-0.025,0
-10.219,-0.15324,0.036875,2.7537e-021,0.10575,2.7695e-005,2322.3,0.0054523,-0.001367,0,1,0.00615,0.00615,-0.025,0
-10.217,-0.15891,0.036992,8.0585e-021,0.10847,2.8091e-005,2324.4,0.0056349,-0.0013497,0,1,0.006355,0.006355,-0.025,0
-10.216,-0.16459,0.037108,1.3365e-020,0.11119,2.8488e-005,2326.6,0.0058176,-0.0013324,0,1,0.00656,0.00656,-0.025,0
-10.214,-0.17053,0.03728,1.3842e-020,0.114,2.8889e-005,2328.8,0.006002,-0.0013198,1.8915e-022,1,0.006765,0.006765,-0.025,0
-10.213,-0.17659,0.037474,1.2369e-020,0.11684,2.9293e-005,2331.1,0.0061871,-0.0013091,4.5456e-022,1,0.00697,0.00697,-0.025,0
-10.212,-0.18265,0.037668,1.0895e-020,0.11969,2.9696e-005,2333.4,0.0063722,-0.0012984,7.1992e-022,1,0.007175,0.007175,-0.025,0
-10.211,-0.18903,0.03796,1.6708e-021,0.12268,3.0137e-005,2335.9,0.0065618,-0.0012964,7.5063e-022,1,0.00738,0.00738,-0.025,0
-10.21,-0.19546,0.038265,-8.5736e-021,0.1257,3.0583e-005,2338.4,0.006752,-0.0012957,7.5056e-022,1,0.007585,0.007585,-0.025,0
