"p","U:0","U:1","U:2","k","nut","omega","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-7.4292,0,0,0,3.0031e-008,0,11463,7.3462e-005,-0.00036463,0,1,0,0,-0.025,0
-7.4292,-0.00073382,0.002605,0,1.7816e-007,4.6939e-011,9706.3,4.7773e-005,-0.00031379,0,1,0.000205,0.000205,-0.025,0
-7.4292,-0.0014679,0.0052109,0,3.2631e-007,9.3894e-011,7949.4,2.2078e-005,-0.00026293,0,1,0.00041,0.00041,-0.025,0
-7.4292,-0.0023995,0.0070427,3.1409e-020,7.9511e-007,3.6339e-010,6183.9,3.9585e-005,-0.0002453,0,1,0.000615,0.000615,-0.025,0
-7.4293,-0.003601,0.0078158,1.0577e-019,1.7023e-006,9.3718e-010,4406.9,0.00011614,-0.00027314,0,1,0.00082,0.00082,-0.025,0
-7.4293,-0.004803,0.0085891,1.8015e-019,2.6096e-006,1.5112e-009,2629.9,0.00019267,-0.00030098,0,1,0.001025,0.001025,-0.025,0
-7.4293,-0.0059714,0.0084742,1.932e-019,5.7606e-006,4.0358e-009,2286.5,0.00026977,-0.00030448,0,1,0.00123,0.00123,-0.025,0
-7.4294,-0.007133,0.0081707,1.9323e-019,9.3883e-006,6.9752e-009,2247.3,0.00034698,-0.00030282,0,1,0.001435,0.001435,-0.025,0
-7.4294,-0.0081297,0.0076576,1.6246e-019,1.4864e-005,1.1835e-008,2214.2,0.00042279,-0.00029387,0,1,0.00164,0.00164,-0.025,0
-7.4294,-0.0084948,0.0063425,1.3821e-020,2.7407e-005,2.404e-008,2204.8,0.00049331,-0.00025704,0,1,0.001845,0.001845,-0.025,0
-7.4293,-0.0088599,0.005027,-1.3487e-019,3.9953e-005,3.6249e-008,2195.3,0.00056383,-0.00022022,0,1,0.00205,0.00205,-0.025,0
-7.4292,-0.0083581,0.0030456,-2.2577e-019,6.5982e-005,6.3492e-008,2188.2,0.00061525,-0.00016119,0,1,0.002255,0.002255,-0.025,0
-7.4289,-0.0071995,0.00055962,-2.729e-019,0.00010222,1.0212e-007,2182.7,0.00065222,-8.5369e-005,0,1,0.00246,0.00246,-0.025,0
-7.4287,-0.0060405,-0.0019272,-3.2005e-019,0.00013847,1.4077e-007,2177.3,0.00068918,-9.5578e-006,0,1,0.002665,0.002665,-0.025,0
-7.428,-0.0033317,-0.00521,-2.9473e-019,0.00021743,2.1943e-007,2175.5,0.00067041,9.1764e-005,1.5909e-021,1,0.00287,0.00287,-0.025,0
-7.4274,-0.00046976,-0.008572,-2.6228e-019,0.0003006,3.0204e-007,2174.2,0.00064616,0.00019557,3.3378e-021,1,0.003075,0.003075,-0.025,0
-7.4266,0.0027039,-0.011937,-2.2204e-019,0.00039725,3.9625e-007,2173.3,0.00060632,0.00030058,4.2288e-021,1,0.00328,0.00328,-0.025,0
-7.4256,0.0069116,-0.015311,-1.5591e-019,0.00053867,5.2894e-007,2174.1,0.00051464,0.00040963,2.2763e-021,1,0.003485,0.003485,-0.025,0
-7.4246,0.011121,-0.018686,-8.9758e-020,0.00068011,6.6168e-007,2174.9,0.00042298,0.00051866,3.2403e-022,1,0.00369,0.00369,-0.025,0
-7.4235,0.01578,-0.02164,-3.6858e-020,0.0008451,8.1631e-007,2175.3,0.00030224,0.00061777,-1.5044e-021,1,0.003895,0.003895,-0.025,0
-7.4223,0.020836,-0.024224,4.3427e-021,0.0010309,9.9028e-007,2175.5,0.00015584,0.00070813,-3.2237e-021,1,0.0041,0.0041,-0.025,0
-7.4212,0.025894,-0.026808,4.5557e-020,0.0012167,1.1643e-006,2175.6,9.4738e-006,0.00079847,-4.9426e-021,1,0.004305,0.004305,-0.025,0
-7.4203,0.031269,-0.028451,4.5865e-020,0.0014183,1.3612e-006,2175.3,-0.00016486,0.00086154,-4.5967e-021,1,0.00451,0.00451,-0.025,0
-7.4195,0.03672,-0.029873,3.6579e-020,0.0016237,1.5634e-006,2174.9,-0.00034572,0.00091821,-3.7669e-021,1,0.004715,0.004715,-0.025,0
-7.4186,0.042174,-0.03122,2.7921e-020,0.0018286,1.7665e-006,2174.5,-0.00052749,0.00097242,-2.9936e-021,1,0.00492,0.00492,-0.025,0
-7.4184,0.047643,-0.031536,2.7925e-020,0.002027,1.9808e-006,2173.6,-0.00072209,0.000993,-2.9933e-021,1,0.005125,0.005125,-0.025,0
-7.4182,0.053114,-0.031851,2.793e-020,0.0022255,2.1952e-006,2172.8,-0.00091665,0.0010136,-2.993e-021,1,0.00533,0.00533,-0.025,0
-7.4182,0.058499,-0.031912,2.4883e-020,0.0024151,2.4068e-006,2171.9,-0.0011103,0.0010249,-2.6657e-021,1,0.005535,0.005535,-0.025,0
-7.4188,0.063683,-0.031388,1.4855e-020,0.0025844,2.6118e-006,2171.1,-0.0013018,0.0010149,-1.591e-021,1,0.00574,0.00574,-0.025,0
-7.4194,0.068869,-0.030865,4.8239e-021,0.0027537,2.8169e-006,2170.2,-0.0014932,0.001005,-5.1652e-022,1,0.005945,0.005945,-0.025,0
-7.4204,0.073784,-0.030053,5.1131e-021,0.0029016,3.009e-006,2169.4,-0.0016765,0.00098345,0,1,0.00615,0.00615,-0.025,0
-7.4217,0.078449,-0.028974,1.4963e-020,0.0030298,3.189e-006,2168.6,-0.0018523,0.00095115,0,1,0.006355,0.006355,-0.025,0
-7.423,0.083116,-0.027895,2.4816e-020,0.003158,3.369e-006,2167.8,-0.002028,0.00091886,0,1,0.00656,0.00656,-0.025,0
-7.4246,0.087309,-0.02658,2.523e-020,0.0032531,3.5231e-006,2167.2,-0.002187,0.00087634,3.6954e-022,1,0.006765,0.006765,-0.025,0
