"p","U:0","U:1","U:2","k","nut","omega","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-7.3991,0,0,0,3.1242e-008,0,11463,7.2275e-005,-0.0003708,0,1,0,0,-0.025,0
-7.3991,-0.00074817,0.0026448,0,1.8565e-007,4.9074e-011,9706.3,4.7382e-005,-0.00031899,0,1,0.000205,0.000205,-0.025,0
-7.3991,-0.0014966,0.0052905,0,3.4009e-007,9.8165e-011,7949.3,2.2484e-005,-0.00026715,0,1,0.00041,0.00041,-0.025,0
-7.3992,-0.0024539,0.0071472,3.1001e-020,8.2612e-007,3.7726e-010,6183.9,4.1219e-005,-0.00024904,0,1,0.000615,0.000615,-0.025,0
-7.3992,-0.0036968,0.0079246,1.0439e-019,1.7655e-006,9.7088e-010,4407,0.00011959,-0.00027707,0,1,0.00082,0.00082,-0.025,0
-7.3993,-0.0049401,0.0087022,1.7781e-019,2.705e-006,1.5647e-009,2630.1,0.00019795,-0.00030509,0,1,0.001025,0.001025,-0.025,0
-7.3993,-0.0061516,0.0085802,1.9069e-019,5.9344e-006,4.1456e-009,2286.8,0.00027662,-0.00030829,0,1,0.00123,0.00123,-0.025,0
-7.3993,-0.0073567,0.0082673,1.9073e-019,9.6503e-006,7.149e-009,2247.7,0.00035534,-0.00030622,0,1,0.001435,0.001435,-0.025,0
-7.3994,-0.0083958,0.0077447,1.6015e-019,1.5261e-005,1.2136e-008,2214.7,0.00043258,-0.00029684,0,1,0.00164,0.00164,-0.025,0
-7.3993,-0.0087988,0.0064199,1.2418e-020,2.812e-005,2.471e-008,2205.2,0.00050416,-0.00025946,0,1,0.001845,0.001845,-0.025,0
-7.3993,-0.0092019,0.0050947,-1.3536e-019,4.0982e-005,3.7289e-008,2195.6,0.00057574,-0.00022208,0,1,0.00205,0.00205,-0.025,0
-7.3991,-0.008735,0.0031077,-2.2609e-019,6.688e-005,6.4397e-008,2188.3,0.00062784,-0.00016267,0,1,0.002255,0.002255,-0.025,0
-7.3989,-0.0076091,0.00061918,-2.7363e-019,0.00010265,1.0251e-007,2182.7,0.0006652,-8.6596e-005,0,1,0.00246,0.00246,-0.025,0
-7.3986,-0.0064829,-0.0018702,-3.2117e-019,0.00013843,1.4064e-007,2177.1,0.00070256,-1.0533e-005,0,1,0.002665,0.002665,-0.025,0
-7.398,-0.0038082,-0.0051481,-2.9554e-019,0.00021664,2.1873e-007,2175.2,0.00068411,9.0485e-005,1.5657e-021,1,0.00287,0.00287,-0.025,0
-7.3973,-0.00098058,-0.0085046,-2.6271e-019,0.00029902,3.0077e-007,2173.8,0.00066019,0.00019394,3.2848e-021,1,0.003075,0.003075,-0.025,0
-7.3965,0.0021586,-0.011864,-2.2212e-019,0.00039481,3.9445e-007,2172.8,0.00062078,0.00029855,4.1559e-021,1,0.00328,0.00328,-0.025,0
-7.3955,0.0063312,-0.015228,-1.5573e-019,0.00053509,5.2678e-007,2173.6,0.00052987,0.00040705,2.2094e-021,1,0.003485,0.003485,-0.025,0
-7.3944,0.010505,-0.018594,-8.9322e-020,0.0006754,6.5916e-007,2174.3,0.00043898,0.00051554,2.6323e-022,1,0.00369,0.00369,-0.025,0
-7.3933,0.015131,-0.021541,-3.6483e-020,0.00083862,8.1297e-007,2174.8,0.0003191,0.00061426,-1.5479e-021,1,0.003895,0.003895,-0.025,0
-7.3922,0.020155,-0.024119,4.3755e-021,0.0010221,9.8572e-007,2174.9,0.00017364,0.00070436,-3.2399e-021,1,0.0041,0.0041,-0.025,0
-7.391,0.02518,-0.026697,4.5248e-020,0.0012056,1.1585e-006,2175.1,2.8216e-005,0.00079444,-4.9315e-021,1,0.004305,0.004305,-0.025,0
-7.3901,0.030526,-0.028334,4.5676e-020,0.0014042,1.3539e-006,2174.8,-0.00014528,0.00085732,-4.5912e-021,1,0.00451,0.00451,-0.025,0
-7.3893,0.035947,-0.02975,3.6619e-020,0.0016064,1.5546e-006,2174.3,-0.00032533,0.00091381,-3.7748e-021,1,0.004715,0.004715,-0.025,0
-7.3885,0.041372,-0.031091,2.8175e-020,0.0018081,1.7562e-006,2173.8,-0.00050628,0.00096784,-3.0139e-021,1,0.00492,0.00492,-0.025,0
-7.3882,0.046811,-0.031399,2.8179e-020,0.0020027,1.9685e-006,2173,-0.00070005,0.00098813,-3.0136e-021,1,0.005125,0.005125,-0.025,0
-7.388,0.052253,-0.031707,2.8184e-020,0.0021974,2.1808e-006,2172.1,-0.00089379,0.0010084,-3.0133e-021,1,0.00533,0.00533,-0.025,0
-7.388,0.057608,-0.03176,2.5109e-020,0.002383,2.3902e-006,2171.3,-0.0010865,0.0010194,-2.6839e-021,1,0.005535,0.005535,-0.025,0
-7.3885,0.062762,-0.031229,1.499e-020,0.002548,2.5929e-006,2170.4,-0.0012771,0.0010092,-1.6018e-021,1,0.00574,0.00574,-0.025,0
-7.3891,0.067918,-0.030698,4.8677e-021,0.0027131,2.7955e-006,2169.5,-0.0014676,0.00099895,-5.2003e-022,1,0.005945,0.005945,-0.025,0
-7.39,0.072802,-0.02988,5.1337e-021,0.0028567,2.9851e-006,2168.7,-0.00165,0.0009771,0,1,0.00615,0.00615,-0.025,0
-7.3913,0.077436,-0.028795,1.5023e-020,0.0029806,3.1624e-006,2167.9,-0.0018247,0.0009445,0,1,0.006355,0.006355,-0.025,0
-7.3926,0.082072,-0.027709,2.4916e-020,0.0031045,3.3398e-006,2167.1,-0.0019994,0.00091191,0,1,0.00656,0.00656,-0.025,0
-7.3942,0.086234,-0.026389,2.5328e-020,0.0031952,3.4905e-006,2166.5,-0.0021572,0.00086911,3.7136e-022,1,0.006765,0.006765,-0.025,0
-7.3959,0.090205,-0.024974,2.1914e-020,0.0032725,3.6304e-006,2165.9,-0.0023083,0.00082219,8.9246e-022,1,0.00697,0.00697,-0.025,0
-7.3976,0.094178,-0.023559,1.8498e-020,0.0033498,3.7704e-006,2165.3,-0.0024593,0.00077528,1.4135e-021,1,0.007175,0.007175,-0.025,0
-7.3996,0.097509,-0.02199,1.4862e-021,0.0033867,3.8691e-006,2164.9,-0.0025861,0.00072109,1.4738e-021,1,0.00738,0.00738,-0.025,0
-7.4015,0.10076,-0.020401,-1.7315e-020,0.0034184,3.9623e-006,2164.6,-0.0027097,0.00066595,1.4736e-021,1,0.007585,0.007585,-0.025,0
-7.4034,0.10398,-0.018809,-3.5678e-020,0.0034488,4.0539e-006,2164.4,-0.0028323,0.00061068,1.4563e-021,1,0.00779,0.00779,-0.025,0
-7.4053,0.10649,-0.017143,-4.1201e-020,0.0034424,4.0972e-006,2164.4,-0.0029271,0.00055112,9.4328e-022,1,0.007995,0.007995,-0.025,0
-7.4072,0.10899,-0.015478,-4.6726e-020,0.0034361,4.1405e-006,2164.4,-0.003022,0.00049158,4.3036e-022,1,0.0082,0.0082,-0.025,0
-7.4091,0.11139,-0.013808,-4.9538e-020,0.0034249,4.1764e-006,2164.4,-0.0031121,0.00043171,-7.0959e-023,1,0.008405,0.008405,-0.025,0
-7.4108,0.11316,-0.01212,-3.8188e-020,0.0033881,4.1735e-006,2164.8,-0.0031778,0.00037007,-5.1216e-022,1,0.00861,0.00861,-0.025,0
-7.4124,0.11494,-0.010432,-2.6834e-020,0.0033513,4.1706e-006,2165.2,-0.0032436,0.00030845,-9.5328e-022,1,0.008815,0.008815,-0.025,0
-7.414,0.11653,-0.0087436,-1.6168e-020,0.0033061,4.1577e-006,2165.6,-0.0033017,0.00024635,-1.2771e-021,1,0.00902,0.00902,-0.025,0
-7.4152,0.11761,-0.0070541,-7.4125e-021,0.0032375,4.1172e-006,2166.3,-0.0033391,0.00018292,-1.2769e-021,1,0.009225,0.009225,-0.025,0
-7.4165,0.11868,-0.005364,1.346e-021,0.0031689,4.0766e-006,2167,-0.0033764,0.0001195,-1.2768e-021,1,0.00943,0.00943,-0.025,0
-7.4176,0.11951,-0.003675,6.2204e-021,0.0030929,4.0154e-006,2168,-0.0034033,5.5337e-005,-1.1255e-021,1,0.009635,0.009635,-0.025,0
-7.4184,0.11989,-0.0019884,3.8211e-021,0.0030032,3.9156e-006,2169.5,-0.0034104,-1.0232e-005,-6.9118e-022,1,0.00984,0.00984,-0.025,0
-7.4192,0.12028,-0.00030124,1.421e-021,0.0029134,3.8157e-006,2171,-0.0034175,-7.5788e-005,-2.5697e-022,1,0.010045,0.010045,-0.025,0
-7.4198,0.12038,0.0013752,0,0.0028216,3.6876e-006,2173.1,-0.0034113,-0.00014112,0,1,0.01025,0.01025,-0.025,0
-7.4201,0.12008,0.0030358,0,0.0027266,3.5185e-006,2176,-0.0033858,-0.00020612,0,1,0.010455,0.010455,-0.025,0
-7.4205,0.11979,0.004697,0,0.0026317,3.3493e-006,2179,-0.0033602,-0.00027112,0,1,0.01066,0.01066,-0.025,0
-7.4207,0.11919,0.0063226,-5.195e-021,0.0025334,3.1613e-006,2182.7,-0.0033208,-0.00033385,2.0501e-022,1,0.010865,0.010865,-0.025,0
-7.4208,0.11824,0.0079036,-1.6872e-020,0.002431,2.9498e-006,2187.4,-0.003264,-0.00039376,6.6563e-022,1,0.01107,0.01107,-0.025,0
-7.4208,0.11728,0.0094852,-2.8553e-020,0.0023286,2.7382e-006,2192,-0.0032072,-0.00045365,1.1262e-021,1,0.011275,0.011275,-0.025,0
-7.4207,0.11603,0.010997,-3.4877e-020,0.0022222,2.5257e-006,2197.4,-0.0031373,-0.00050924,1.3753e-021,1,0.01148,0.01148,-0.025,0
-7.4205,0.11443,0.012426,-3.4883e-020,0.0021111,2.3122e-006,2203.6,-0.003052,-0.00055976,1.3751e-021,1,0.011685,0.011685,-0.025,0
-7.4203,0.11283,0.013855,-3.4889e-020,0.0019999,2.0986e-006,2209.9,-0.0029667,-0.00061026,1.375e-021,1,0.01189,0.01189,-0.025,0
-7.42,0.11096,0.015179,-2.7037e-020,0.0018861,1.8996e-006,2216.4,-0.0028703,-0.00065461,1.413e-021,1,0.012095,0.012095,-0.025,0
-7.4196,0.10875,0.016374,-9.5591e-021,0.0017691,1.7184e-006,2223.3,-0.0027602,-0.00069143,1.4977e-021,1,0.0123,0.0123,-0.025,0
-7.4193,0.10654,0.017569,7.9247e-021,0.001652,1.5371e-006,2230.2,-0.0026501,-0.00072824,1.5824e-021,1,0.012505,0.012505,-0.025,0
-7.4189,0.10409,0.018629,1.8124e-020,0.0015347,1.3713e-006,2237.2,-0.0025319,-0.00075762,1.6317e-021,1,0.01271,0.01271,-0.025,0
-7.4184,0.10131,0.019502,1.8127e-020,0.0014171,1.2271e-006,2244.3,-0.0024024,-0.00077664,1.6315e-021,1,0.012915,0.012915,-0.025,0
-7.418,0.098536,0.020374,1.813e-020,0.0012995,1.0828e-006,2251.4,-0.0022729,-0.00079565,1.6314e-021,1,0.01312,0.01312,-0.025,0
-7.4176,0.095584,0.021099,1.601e-020,0.0011838,9.5068e-007,2258.4,-0.002139,-0.00080707,1.4402e-021,1,0.013325,0.013325,-0.025,0
-7.4172,0.092324,0.021561,1.0125e-020,0.0010718,8.4015e-007,2265.1,-0.0019973,-0.00080501,9.1055e-022,1,0.01353,0.01353,-0.025,0
-7.4168,0.089063,0.022023,4.2371e-021,0.00095966,7.2958e-007,2271.7,-0.0018556,-0.00080296,3.8096e-022,1,0.013735,0.013735,-0.025,0
-7.4165,0.085703,0.02235,-2.1439e-021,0.0008523,6.2797e-007,2278.1,-0.0017132,-0.0007946,2.4092e-022,1,0.01394,0.01394,-0.025,0
-7.4162,0.08209,0.022331,-9.7875e-021,0.00075716,5.4939e-007,2283.8,-0.0015688,-0.00077005,1.0996e-021,1,0.014145,0.014145,-0.025,0
-7.4159,0.078476,0.022312,-1.7434e-020,0.00066199,4.7078e-007,2289.4,-0.0014244,-0.00074551,1.9581e-021,1,0.01435,0.01435,-0.025,0
-7.4156,0.074831,0.022204,-2.3733e-020,0.00057133,3.9717e-007,2294.8,-0.0012815,-0.00071733,2.6649e-021,1,0.014555,0.014555,-0.025,0
-7.4154,0.071042,0.021681,-2.3737e-020,0.00050178,3.4701e-007,2298.8,-0.0011457,-0.00067219,2.6646e-021,1,0.01476,0.01476,-0.025,0
-7.4153,0.067253,0.021157,-2.3741e-020,0.00043222,2.9683e-007,2302.8,-0.0010099,-0.00062706,2.6643e-021,1,0.014965,0.014965,-0.025,0
-7.4151,0.063464,0.020612,-2.2666e-020,0.00036378,2.4758e-007,2306.6,-0.00087505,-0.00058128,2.555e-021,1,0.01517,0.01517,-0.025,0
-7.415,0.059718,0.019645,-3.6843e-022,0.00031757,2.1699e-007,2308.3,-0.00075949,-0.00052253,3.0145e-022,1,0.015375,0.015375,-0.025,0
-7.4149,0.05597,0.018679,2.1936e-020,0.00027135,1.8638e-007,2309.9,-0.00064395,-0.00046379,-1.9517e-021,1,0.01558,0.01558,-0.025,0
-7.4148,0.052221,0.017711,4.4249e-020,0.00022512,1.5576e-007,2311.5,-0.00052843,-0.00040507,-4.2043e-021,1,0.015785,0.015785,-0.025,0
-7.4147,0.048718,0.016496,3.1708e-020,0.00019491,1.3628e-007,2311,-0.00043874,-0.0003454,-4.4383e-021,1,0.01599,0.01599,-0.025,0
-7.4147,0.045241,0.015251,1.5113e-020,0.00016656,1.181e-007,2310.3,-0.00035206,-0.00028564,-4.4379e-021,1,0.016195,0.016195,-0.025,0
-7.4146,0.041764,0.014006,-1.4868e-021,0.0001382,9.9902e-008,2309.6,-0.00026539,-0.00022588,-4.4374e-021,1,0.0164,0.0164,-0.025,0
-7.4145,0.038626,0.012717,-3.6054e-020,0.00011834,8.7098e-008,2307.3,-0.0001998,-0.0001752,-1.7354e-021,1,0.016605,0.016605,-0.025,0
-7.4144,0.03562,0.011409,-7.7655e-020,0.0001018,7.6399e-008,2304.5,-0.00014245,-0.00012806,2.0218e-021,1,0.01681,0.01681,-0.025,0
-7.4143,0.032613,0.010102,-1.1927e-019,8.5253e-005,6.5696e-008,2301.7,-8.5113e-005,-8.0939e-005,5.7784e-021,1,0.017015,0.017015,-0.025,0
-7.4141,0.029922,0.0088297,-1.3091e-019,7.2501e-005,5.7472e-008,2297.8,-3.8988e-005,-4.2852e-005,7.5908e-021,1,0.01722,0.01722,-0.025,0
-7.414,0.027524,0.0075913,-1.1457e-019,6.3287e-005,5.1563e-008,2292.8,-3.3211e-006,-1.3195e-005,7.5901e-021,1,0.017425,0.017425,-0.025,0
-7.4138,0.025126,0.0063524,-9.8227e-020,5.4071e-005,4.5652e-008,2287.7,3.2339e-005,1.6456e-005,7.5894e-021,1,0.01763,0.01763,-0.025,0
-7.4137,0.022936,0.0051306,-7.8889e-020,4.6176e-005,4.0703e-008,2282.1,6.3889e-005,4.3203e-005,6.91e-021,1,0.017835,0.017835,-0.025,0
-7.4135,0.021256,0.003951,-5.2254e-020,4.1508e-005,3.8106e-008,2275.2,8.5429e-005,6.2875e-005,4.5758e-021,1,0.01804,0.01804,-0.025,0
-7.4133,0.019575,0.002771,-2.561e-020,3.6838e-005,3.5508e-008,2268.2,0.00010696,8.2543e-005,2.242e-021,1,0.018245,0.018245,-0.025,0
-7.4131,0.017927,0.0015902,0,3.2271e-005,3.2982e-008,2261.2,0.00012791,0.0001022,0,1,0.01845,0.01845,-0.025,0
-7.4129,0.017088,0.00039741,0,3.0245e-005,3.2263e-008,2254.2,0.0001346,0.0001218,0,1,0.018655,0.018655,-0.025,0
-7.4127,0.016248,-0.00079575,0,2.8219e-005,3.1544e-008,2247.2,0.00014128,0.00014139,0,1,0.01886,0.01886,-0.025,0
-7.4124,0.015408,-0.0019893,0,2.6192e-005,3.0824e-008,2240.2,0.00014796,0.00016098,0,1,0.019065,0.019065,-0.025,0
-7.4122,0.01529,-0.003224,-2.0948e-020,2.7244e-005,3.3622e-008,2234.7,0.0001404,0.00018496,0,1,0.01927,0.01927,-0.025,0
-7.4119,0.015397,-0.0044719,-4.8439e-020,2.9257e-005,3.752e-008,2229.6,0.00012841,0.00021031,0,1,0.019475,0.019475,-0.025,0
-7.4116,0.015504,-0.0057201,-7.5939e-020,3.127e-005,4.1418e-008,2224.6,0.00011642,0.00023565,0,1,0.01968,0.01968,-0.025,0
-7.4112,0.016051,-0.0070047,-1.0132e-019,3.5038e-005,4.7382e-008,2220.3,9.3853e-005,0.00026516,0,1,0.019885,0.019885,-0.025,0
-7.4109,0.017117,-0.0083317,-1.2421e-019,4.0867e-005,5.5772e-008,2217,5.8868e-005,0.00029956,0,1,0.02009,0.02009,-0.025,0
-7.4105,0.018184,-0.0096593,-1.4711e-019,4.6698e-005,6.4165e-008,2213.7,2.3891e-005,0.00033396,0,1,0.020295,0.020295,-0.025,0
-7.4101,0.019361,-0.010986,-1.6181e-019,5.9386e-005,8.3283e-008,2210.5,-1.4906e-005,0.00036911,-1.8267e-022,1,0.0205,0.0205,-0.025,0
-7.4098,0.021269,-0.012304,-1.2248e-019,0.00011727,1.7307e-007,2208.5,-7.8913e-005,0.00040934,-1.5689e-021,1,0.020705,0.020705,-0.025,0
-7.4094,0.023178,-0.013622,-8.3141e-020,0.00017516,2.629e-007,2206.4,-0.00014291,0.00044955,-2.9549e-021,1,0.02091,0.02091,-0.025,0
-7.409,0.025087,-0.01494,-4.3785e-020,0.00023307,3.5275e-007,2204.3,-0.00020689,0.00048976,-4.3406e-021,1,0.021115,0.021115,-0.025,0
-7.4087,0.027419,-0.015967,-1.7509e-020,0.00034673,5.2906e-007,2203.6,-0.00029368,0.00052521,-4.6482e-021,1,0.02132,0.02132,-0.025,0
-7.4085,0.029872,-0.016911,5.0351e-021,0.00047633,7.3012e-007,2203.2,-0.00038698,0.0005593,-4.6477e-021,1,0.021525,0.021525,-0.025,0
